Open,High,Low,Close,Adj Close,Volume,SMA30,SMA60,SMA90,SMA180,pred,sell signal,buy signal
54.4474983215332,55.462501525878906,54.279998779296875,54.560001373291016,52.85848617553711,126286800,52.70413589477539,49.45741494496664,48.167688073052304,44.79613571166992,1,,52.85848617553711
54.625,54.904998779296875,53.82500076293945,54.592498779296875,52.88997268676758,108495200,52.800886662801105,49.60611438751221,48.24960424635145,44.8608118057251,1,,52.88997268676758
55.060001373291016,55.56999969482422,54.787498474121094,55.00749969482422,53.292030334472656,106435200,52.90991287231445,49.75242379506429,48.33716769748264,44.927761459350585,1,,53.292030334472656
55.19499969482422,55.34000015258789,54.3224983215332,54.415000915527344,52.7180061340332,384986800,52.98669115702311,49.89025198618571,48.42293883429633,44.990457895067,1,,52.7180061340332
54.20500183105469,55.314998626708984,54.157501220703125,55.1974983215332,53.47610092163086,110773600,53.09374504089355,50.03532498677571,48.51246710883247,45.054745250278046,1,,53.47610092163086
54.9375,55.70500183105469,54.92499923706055,55.54750061035156,53.815189361572266,98217600,53.20128351847331,50.187618319193525,48.608954196506076,45.12178109486898,1,,53.815189361572266
55.25,55.9375,54.939998626708984,55.10499954223633,53.38648986816406,95938800,53.287427520751955,50.324439684549965,48.70250163608127,45.18646189371745,1,,53.38648986816406
55.95500183105469,56.61000061035156,55.8849983215332,56.23749923706055,54.48366165161133,120724800,53.40618756612142,50.49266103108724,48.804699918958875,45.257291327582465,1,,54.48366165161133
56.1974983215332,56.459999084472656,56.005001068115234,56.435001373291016,54.675010681152344,91717600,53.506459681193036,50.658118057250974,48.9102847205268,45.327866808573404,1,,54.675010681152344
56.98749923706055,57.35499954223633,56.587501525878906,56.814998626708984,55.04315185546875,94403200,53.58461023966471,50.819372749328615,49.01674190097385,45.39807966020372,1,,55.04315185546875
56.8125,57.5,56.657501220703125,57.31999969482422,55.532413482666016,99152800,53.69618542989095,50.97828273773193,49.129198498196075,45.47220787472195,1,,55.532413482666016
57.51250076293945,58.36750030517578,57.44499969482422,58.01750183105469,56.20815658569336,114619200,53.83367627461751,51.14938023885091,49.24801021152072,45.54621908399794,1,,56.20815658569336
57.69499969482422,58.087501525878906,56.682498931884766,56.997501373291016,55.219966888427734,128168000,53.93814646402995,51.31394386291504,49.3576656765408,45.61452751159668,1,,55.219966888427734
56.9900016784668,57.102500915527344,55.14500045776367,56.0724983215332,54.323814392089844,134322000,54.009192911783856,51.45090045928955,49.458436499701605,45.67892157236735,1,,54.323814392089844
55.5525016784668,56.20000076293945,55.04999923706055,55.942501068115234,54.197872161865234,118655600,54.070631917317705,51.584551111857095,49.55949753655328,45.74455814361572,1,,54.197872161865234
55.90999984741211,56.817501068115234,55.5625,56.717498779296875,54.94869613647461,107564000,54.142727788289385,51.732404963175455,49.659863493177625,45.81431280771891,1,,54.94869613647461
56.3650016784668,56.587501525878906,54.01250076293945,54.09000015258789,52.40314865112305,167962400,54.11576296488444,51.83566080729167,49.727681732177736,45.87367689344618,1,,52.40314865112305
53.630001068115234,54.875,53.08000183105469,53.61249923706055,51.94053268432617,212497600,54.046896362304686,51.93543014526367,49.786390686035155,45.93460816277398,1,,51.94053268432617
55.10499954223633,55.720001220703125,54.209999084472656,55.52750015258789,53.79581069946289,161351600,54.0233216603597,52.06016724904378,49.863917117648654,46.005314360724554,1,,53.79581069946289
55.290000915527344,55.45750045776367,54.317501068115234,54.34000015258789,52.64533996582031,123164000,53.940407053629556,52.16749979654948,49.9300550672743,46.07435160742865,1,,52.64533996582031
54.73249816894531,55.747501373291016,54.189998626708984,55.537498474121094,53.80549621582031,116736000,53.89027086893717,52.293484433492026,50.01380352444119,46.151151190863715,1,,53.80549621582031
55.57500076293945,55.65999984741211,54.834999084472656,55.29750061035156,53.57298278808594,91541600,53.84441375732422,52.41000245412191,50.096228959825304,46.226047092013886,1,,53.57298278808594
54.46500015258789,54.935001373291016,53.25,54.005001068115234,52.320796966552734,130325200,53.78725369771322,52.4983294804891,50.161925379435225,46.293520800272624,1,,52.320796966552734
54.51499938964844,55.314998626708984,54.35749816894531,54.82749938964844,53.117637634277344,132314800,53.77118759155273,52.60239105224609,50.24071269565158,46.375105985005696,1,,53.117637634277344
54.9474983215332,55.84000015258789,54.73500061035156,55.162498474121094,53.44219207763672,115168400,53.78991775512695,52.72485485076904,50.32283795674642,46.46382874382867,1,,53.44219207763672
53.95750045776367,55.8125,53.67499923706055,55.682498931884766,53.94597625732422,155071200,53.78087539672852,52.860019238789874,50.41581704881456,46.546650144788956,1,,53.94597625732422
55.650001525878906,56.057498931884766,53.6349983215332,53.772499084472656,52.09554672241211,163702000,53.73259607950846,52.96281464894613,50.488504028320314,46.62383412255181,1,,52.09554672241211
54.4275016784668,55.345001220703125,54.1875,54.95000076293945,53.236324310302734,119423200,53.679230499267575,53.0395294825236,50.58204561869304,46.71319575839573,1,,53.236324310302734
53.974998474121094,55.04750061035156,53.16749954223633,54.07500076293945,52.388607025146484,189033600,53.618356704711914,53.07842248280843,50.663995827568904,46.79532337188721,1,,52.388607025146484
54.79750061035156,54.92250061035156,51.522499084472656,53.060001373291016,51.4052619934082,183742000,53.572822443644206,53.098512840271,50.73780911763509,46.86357286241319,1,,51.4052619934082
52.787498474121094,53.79499816894531,52.317501068115234,53.32500076293945,51.6619987487793,146640000,53.53293952941895,53.118537712097165,50.81592313978407,46.931071514553494,1,,51.6619987487793
54.220001220703125,55.11249923706055,54.154998779296875,54.71500015258789,53.00864791870117,153435600,53.5368953704834,53.168891016642256,50.91637471516927,47.00200428432888,1,,53.00864791870117
